Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-04-22,Buy,3064.6,32,,
2024-05-03,Sell,2993.3,32,-71.29999999999973,-2281.5999999999913
2024-05-30,Buy,3193.1,31,,
2024-07-01,Sell,3182.85,31,-10.25,-317.75
2024-08-19,Buy,3102.1,32,,
2024-09-04,Sell,3012.5,32,-89.59999999999991,-2867.199999999997
2024-10-07,Buy,3016.4,33,,
2024-10-28,Sell,2800.45,33,-215.95000000000027,-7126.3500000000095
2024-12-30,Buy,2593.45,38,,
2025-01-09,Sell,2482.5,38,-110.94999999999982,-4216.099999999993
2025-01-22,Buy,2376.25,42,,
2025-01-27,Sell,2259.5,42,-116.75,-4903.5
2025-03-25,Buy,2319.8,43,,
2025-06-24,Sell,2506.95,43,187.14999999999964,8047.449999999984
2025-06-30,Buy,2618.8,38,,
