Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-04-15,Buy,1315.15,76,,
2024-05-07,Sell,1287.2,76,-27.950000000000045,-2124.2000000000035
2024-05-23,Buy,1443.0,69,,
2024-07-02,Sell,1474.1,69,31.09999999999991,2145.8999999999937
2024-07-03,Buy,1510.75,66,,
2024-08-29,Sell,1475.85,66,-34.90000000000009,-2303.400000000006
2024-12-26,Buy,1243.9,80,,
2025-01-07,Sell,1174.8,80,-69.10000000000014,-5528.000000000011
2025-02-28,Buy,1070.15,93,,
2025-03-07,Sell,1144.45,93,74.29999999999995,6909.899999999996
2025-03-21,Buy,1188.8,84,,
2025-07-02,Sell,1443.2,84,254.4000000000001,21369.600000000006
2025-07-17,Buy,1451.95,68,,
