Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-04-09,Buy,6504.15,15,,
2024-05-03,Sell,6009.0,15,-495.14999999999964,-7427.2499999999945
2024-06-11,Buy,6110.2,16,,
2024-10-22,Sell,6885.35,16,775.1500000000005,12402.400000000009
2024-11-07,Buy,7424.6,13,,
2024-11-19,Sell,6681.6,13,-743.0,-9659.0
2024-11-27,Buy,6979.0,14,,
2024-12-09,Sell,7196.2,14,217.19999999999982,3040.7999999999975
2024-12-16,Buy,7260.15,13,,
2025-01-14,Sell,6704.7,13,-555.4499999999998,-7220.849999999998
2025-03-28,Buy,6622.3,15,,
2025-05-23,Sell,7062.8,15,440.5,6607.5
2025-06-06,Buy,6941.7,14,,
2025-06-20,Sell,7060.8,14,119.10000000000036,1667.400000000005
2025-06-27,Buy,7305.95,13,,
