Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-04-08,Buy,2893.9,34,,
2024-04-18,Sell,2814.75,34,-79.15000000000009,-2691.100000000003
2024-04-24,Buy,2867.3,34,,
2024-05-09,Sell,2711.0,34,-156.30000000000018,-5314.200000000006
2024-05-21,Buy,2850.25,35,,
2024-05-30,Sell,2881.9,35,31.65000000000009,1107.7500000000032
2024-06-07,Buy,2928.7,34,,
2024-10-11,Sell,3038.25,34,109.55000000000018,3724.700000000006
2025-02-19,Buy,2236.95,44,,
2025-02-28,Sell,2179.95,44,-57.0,-2508.0
2025-03-25,Buy,2330.35,42,,
2025-05-19,Sell,2329.4,42,-0.9499999999998181,-39.89999999999236
2025-07-03,Buy,2430.4,41,,
