Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-03-02,Buy,1096.35,91,,
2024-03-22,Sell,1034.0,91,-62.34999999999991,-5673.849999999991
2024-04-25,Buy,1127.35,88,,
2024-08-01,Sell,1172.2,88,44.850000000000136,3946.800000000012
2024-09-05,Buy,1180.7,84,,
2024-10-18,Sell,1195.25,84,14.549999999999955,1222.1999999999962
2024-11-13,Buy,1141.15,87,,
2024-11-19,Sell,1135.0,87,-6.150000000000091,-535.0500000000079
2025-02-20,Buy,1017.0,98,,
2025-05-29,Sell,1201.9,98,184.9000000000001,18120.200000000008
2025-06-03,Buy,1181.65,84,,
2025-07-10,Sell,1164.5,84,-17.15000000000009,-1440.6000000000076
