Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-03-14,Buy,1564.2,63,,
2024-03-26,Sell,1593.35,63,29.149999999999864,1836.4499999999914
2024-04-05,Buy,1675.85,59,,
2024-05-09,Sell,1563.1,59,-112.75,-6652.25
2024-07-03,Buy,1594.6,62,,
2024-08-16,Sell,1550.2,62,-44.399999999999864,-2752.7999999999915
2024-09-02,Buy,1840.1,54,,
2024-10-23,Sell,1739.95,54,-100.14999999999986,-5408.099999999993
2024-12-26,Buy,1559.8,64,,
2025-01-10,Sell,1699.85,64,140.04999999999995,8963.199999999997
2025-01-20,Buy,1734.6,57,,
2025-03-27,Sell,2005.4,57,270.8000000000002,15435.60000000001
2025-04-03,Buy,1920.85,52,,
2025-05-26,Sell,2050.45,52,129.5999999999999,6739.199999999995
2025-06-06,Buy,1989.4,50,,
2025-06-12,Sell,2027.0,50,37.59999999999991,1879.9999999999955
2025-07-03,Buy,1980.35,50,,
