Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-02-29,Buy,205.1,487,,
2024-04-04,Sell,220.3,487,15.200000000000017,7402.400000000009
2024-04-15,Buy,234.4,426,,
2024-08-07,Sell,300.25,426,65.85,28052.1
2024-10-21,Buy,282.1,354,,
2024-10-22,Sell,271.5,354,-10.600000000000023,-3752.400000000008
2024-11-06,Buy,301.85,331,,
2024-11-19,Sell,278.7,331,-23.150000000000034,-7662.6500000000115
2024-11-21,Buy,275.5,362,,
2025-01-03,Sell,291.95,362,16.44999999999999,5954.899999999996
2025-03-20,Buy,297.0,336,,
2025-05-05,Sell,315.45,336,18.44999999999999,6199.199999999996
2025-05-06,Buy,310.55,322,,
