Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-05-22,Buy,1481.55,67,,
2024-07-15,Sell,1516.05,67,34.5,2311.5
2024-07-31,Buy,1543.85,64,,
2024-10-15,Sell,1571.45,64,27.600000000000136,1766.4000000000087
2024-11-28,Buy,1492.85,66,,
2024-12-05,Sell,1498.9,66,6.050000000000182,399.300000000012
2025-01-10,Buy,1470.05,68,,
2025-01-24,Sell,1411.8,68,-58.25,-3961.0
2025-02-19,Buy,1464.05,68,,
2025-03-12,Sell,1453.85,68,-10.200000000000045,-693.6000000000031
2025-03-13,Buy,1461.6,68,,
2025-03-19,Sell,1498.5,68,36.90000000000009,2509.200000000006
2025-03-25,Buy,1510.65,66,,
2025-03-26,Sell,1475.5,66,-35.15000000000009,-2319.900000000006
2025-04-01,Buy,1444.55,69,,
2025-04-24,Sell,1551.3,69,106.75,7365.75
2025-05-05,Buy,1543.1,64,,
2025-05-27,Sell,1480.35,64,-62.75,-4016.0
2025-06-19,Buy,1483.15,67,,
2025-07-14,Sell,1484.6,67,1.449999999999818,97.14999999998781
