Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-04-22,Buy,427.55,233,,
2024-06-25,Sell,452.55,233,25.0,5825.0
2024-07-09,Buy,476.05,210,,
2024-09-09,Sell,467.4,210,-8.650000000000034,-1816.5000000000073
2024-10-15,Buy,476.95,209,,
2024-10-24,Sell,460.25,209,-16.69999999999999,-3490.2999999999975
2025-02-07,Buy,378.25,264,,
2025-02-14,Sell,354.05,264,-24.19999999999999,-6388.799999999997
2025-03-18,Buy,389.1,257,,
2025-04-30,Sell,385.2,257,-3.900000000000034,-1002.3000000000088
2025-05-13,Buy,395.55,252,,
2025-05-26,Sell,403.0,252,7.449999999999989,1877.3999999999971
2025-05-29,Buy,398.3,251,,
2025-06-18,Sell,390.2,251,-8.100000000000023,-2033.1000000000058
