Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-05-23,Buy,1178.45,84,,
2024-05-24,Sell,1172.9,84,-5.5499999999999545,-466.1999999999962
2024-06-18,Buy,1198.8,83,,
2024-09-10,Sell,1330.35,83,131.54999999999995,10918.649999999996
2024-10-17,Buy,1339.9,74,,
2024-10-29,Sell,1275.1,74,-64.80000000000018,-4795.2000000000135
2024-12-20,Buy,1342.45,74,,
2025-01-27,Sell,1197.4,74,-145.04999999999995,-10733.699999999997
2025-04-03,Buy,1151.25,86,,
2025-04-25,Sell,1173.55,86,22.299999999999955,1917.799999999996
2025-05-09,Buy,1156.4,86,,
2025-07-11,Sell,1254.0,86,97.59999999999991,8393.599999999991
