Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-02-19,Buy,3900.55,25,,
2024-03-12,Sell,3810.6,25,-89.95000000000027,-2248.750000000007
2024-04-08,Buy,4210.3,23,,
2024-07-18,Sell,4939.45,23,729.1499999999996,16770.44999999999
2024-07-29,Buy,4962.75,20,,
2024-08-16,Sell,4816.1,20,-146.64999999999964,-2932.9999999999927
2024-09-05,Buy,4799.65,20,,
2024-09-25,Sell,4894.45,20,94.80000000000018,1896.0000000000036
2024-10-09,Buy,4705.65,21,,
2024-10-18,Sell,4764.2,21,58.55000000000018,1229.5500000000038
2024-11-11,Buy,4788.8,20,,
2024-12-10,Sell,4813.3,20,24.5,490.0
2024-12-12,Buy,4806.25,20,,
2024-12-20,Sell,4735.9,20,-70.35000000000036,-1407.0000000000073
2025-01-06,Buy,5251.35,19,,
2025-02-27,Sell,4934.4,19,-316.9500000000007,-6022.050000000014
2025-03-21,Buy,5305.15,18,,
2025-05-22,Sell,5392.25,18,87.10000000000036,1567.8000000000065
2025-06-27,Buy,5652.65,17,,
