Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-06-28,Buy,200.35,499,,
2024-09-13,Sell,272.9,499,72.54999999999998,36202.44999999999
2024-09-19,Buy,278.85,358,,
2024-10-22,Sell,256.2,358,-22.650000000000034,-8108.700000000013
2024-11-28,Buy,286.1,349,,
2025-01-06,Sell,264.65,349,-21.450000000000045,-7486.050000000016
2025-02-24,Buy,222.6,449,,
2025-03-07,Sell,216.8,449,-5.799999999999983,-2604.1999999999925
2025-04-17,Buy,231.75,431,,
2025-06-02,Sell,241.3,431,9.550000000000011,4116.050000000005
2025-06-04,Buy,245.5,407,,
