Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-06-13,Buy,2457.35,40,,
2024-06-21,Sell,2468.85,40,11.5,460.0
2024-06-25,Buy,2516.55,39,,
2024-08-09,Sell,2572.6,39,56.04999999999973,2185.9499999999894
2024-09-10,Buy,2704.2,36,,
2024-10-15,Sell,2734.5,36,30.300000000000182,1090.8000000000065
2024-10-21,Buy,2718.8,36,,
2024-10-29,Sell,2685.4,36,-33.40000000000009,-1202.4000000000033
2024-12-12,Buy,2662.95,37,,
2025-01-01,Sell,2440.15,37,-222.79999999999973,-8243.59999999999
2025-02-10,Buy,2470.75,40,,
2025-03-03,Sell,2378.35,40,-92.40000000000009,-3696.0000000000036
2025-03-28,Buy,2613.5,38,,
2025-05-27,Sell,2614.45,38,0.9499999999998181,36.09999999999309
2025-06-27,Buy,2864.85,34,,
