Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-03-13,Buy,1460.1,68,,
2024-05-13,Sell,1455.8,68,-4.2999999999999545,-292.3999999999969
2024-06-07,Buy,1573.25,63,,
2024-07-26,Sell,1617.8,63,44.549999999999955,2806.649999999997
2024-08-20,Buy,1637.4,61,,
2024-10-23,Sell,1735.7,61,98.29999999999995,5996.299999999997
2024-11-06,Buy,1754.15,57,,
2025-01-06,Sell,1710.3,57,-43.850000000000136,-2499.450000000008
2025-02-12,Buy,1707.05,58,,
2025-03-10,Sell,1687.05,58,-20.0,-1160.0
2025-03-24,Buy,1801.15,55,,
