Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-03-02,Buy,592.3,168,,
2024-04-23,Sell,601.15,168,8.850000000000023,1486.8000000000038
2024-06-11,Buy,571.7,174,,
2024-09-27,Sell,730.2,174,158.5,27579.0
2024-10-17,Buy,726.1,137,,
2024-11-14,Sell,694.0,137,-32.10000000000002,-4397.7000000000035
2025-02-01,Buy,625.5,159,,
2025-03-05,Sell,621.2,159,-4.2999999999999545,-683.6999999999928
2025-03-20,Buy,674.35,148,,
2025-06-27,Sell,806.95,148,132.60000000000002,19624.800000000003
2025-06-30,Buy,814.3,122,,
