Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-03-28,Buy,4601.65,21,,
2024-04-15,Sell,4273.15,21,-328.5,-6898.5
2024-05-15,Buy,4932.65,20,,
2024-07-15,Sell,5468.4,20,535.75,10715.0
2024-09-05,Buy,5594.8,17,,
2024-10-16,Sell,5265.25,17,-329.5500000000002,-5602.350000000003
2025-02-12,Buy,4018.85,24,,
2025-02-28,Sell,3686.9,24,-331.9499999999998,-7966.799999999996
2025-04-15,Buy,3802.95,26,,
2025-06-25,Sell,4300.3,26,497.35000000000036,12931.10000000001
2025-06-30,Buy,4237.7,23,,
2025-07-14,Sell,4249.3,23,11.600000000000364,266.80000000000837
