Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-03-22,Buy,547.45,182,,
2024-06-28,Sell,693.45,182,146.0,26572.0
2024-07-09,Buy,707.2,141,,
2024-07-30,Sell,660.45,141,-46.75,-6591.75
2024-09-03,Buy,678.9,147,,
2024-09-26,Sell,734.5,147,55.60000000000002,8173.2000000000035
2024-10-03,Buy,747.05,133,,
2024-10-31,Sell,686.05,133,-61.0,-8113.0
2024-12-17,Buy,638.5,156,,
2024-12-30,Sell,602.2,156,-36.299999999999955,-5662.799999999993
2025-02-06,Buy,595.3,167,,
2025-02-18,Sell,611.65,167,16.350000000000023,2730.450000000004
2025-02-24,Buy,641.55,155,,
2025-04-15,Sell,618.15,155,-23.399999999999977,-3626.9999999999964
2025-05-14,Buy,650.65,153,,
2025-06-18,Sell,645.2,153,-5.449999999999932,-833.8499999999896
2025-06-30,Buy,693.05,144,,
