Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-05-14,Buy,2349.35,42,,
2024-07-15,Sell,2618.9,42,269.5500000000002,11321.100000000008
2024-07-18,Buy,2736.45,36,,
2024-10-16,Sell,2781.1,36,44.65000000000009,1607.4000000000033
2025-01-21,Buy,2340.4,42,,
2025-02-07,Sell,2363.65,42,23.25,976.5
2025-02-19,Buy,2250.25,44,,
2025-02-24,Sell,2242.2,44,-8.050000000000182,-354.200000000008
2025-04-04,Buy,2244.45,44,,
2025-05-22,Sell,2331.05,44,86.60000000000036,3810.400000000016
2025-05-28,Buy,2361.75,42,,
2025-06-16,Sell,2325.85,42,-35.90000000000009,-1507.8000000000038
2025-06-17,Buy,2328.85,42,,
2025-06-18,Sell,2297.35,42,-31.5,-1323.0
2025-07-16,Buy,2516.65,39,,
