Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-06-25,Buy,1199.05,83,,
2024-08-07,Sell,1172.85,83,-26.200000000000045,-2174.600000000004
2024-09-05,Buy,1235.9,80,,
2024-10-21,Sell,1259.35,80,23.449999999999818,1875.9999999999854
2024-11-07,Buy,1278.9,78,,
2024-12-03,Sell,1307.4,78,28.5,2223.0
2024-12-11,Buy,1328.3,75,,
2025-01-06,Sell,1264.35,75,-63.950000000000045,-4796.250000000004
2025-02-17,Buy,1251.3,79,,
2025-03-05,Sell,1215.6,79,-35.700000000000045,-2820.300000000004
2025-03-25,Buy,1344.4,74,,
2025-06-20,Sell,1427.35,74,82.94999999999982,6138.2999999999865
2025-07-16,Buy,1425.05,70,,
