Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-03-12,Buy,1532.2,65,,
2024-04-10,Sell,1552.65,65,20.450000000000045,1329.250000000003
2024-04-19,Buy,1483.15,67,,
2024-05-06,Sell,1498.35,67,15.199999999999818,1018.3999999999878
2024-06-12,Buy,1483.45,67,,
2024-07-11,Sell,1430.75,67,-52.700000000000045,-3530.9000000000033
2024-09-09,Buy,1427.2,70,,
2024-10-11,Sell,1347.7,70,-79.5,-5565.0
2025-01-23,Buy,970.9,102,,
2025-02-03,Sell,1012.7,102,41.80000000000007,4263.600000000007
2025-02-06,Buy,1065.35,93,,
2025-03-11,Sell,655.95,93,-409.39999999999986,-38074.19999999999
2025-04-25,Buy,822.25,121,,
2025-05-29,Sell,824.15,121,1.8999999999999773,229.89999999999725
2025-06-13,Buy,816.55,122,,
