Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-05-27,Buy,1471.6,67,,
2024-08-30,Sell,1943.3,67,471.70000000000005,31603.9
2024-09-02,Buy,1964.1,50,,
2024-10-03,Sell,1893.1,50,-71.0,-3550.0
2024-10-29,Buy,1838.75,54,,
2024-10-31,Sell,1757.15,54,-81.59999999999991,-4406.399999999995
2024-12-02,Buy,1879.2,53,,
2025-01-13,Sell,1961.8,53,82.59999999999991,4377.799999999996
2025-02-24,Buy,1764.15,56,,
2025-02-28,Sell,1688.05,56,-76.10000000000014,-4261.600000000008
2025-05-14,Buy,1592.6,62,,
2025-07-17,Sell,1581.7,62,-10.899999999999864,-675.7999999999915
