Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-02-21,Buy,828.4,120,,
2024-03-15,Sell,781.0,120,-47.39999999999998,-5687.999999999997
2024-04-01,Buy,871.3,114,,
2024-05-15,Sell,870.8,114,-0.5,-57.0
2024-05-16,Buy,886.35,112,,
2024-07-26,Sell,900.45,112,14.100000000000023,1579.2000000000025
2024-08-23,Buy,940.15,106,,
2024-10-30,Sell,957.2,106,17.050000000000068,1807.3000000000072
2024-11-29,Buy,966.2,103,,
2024-12-10,Sell,1013.0,103,46.799999999999955,4820.399999999995
2024-12-13,Buy,1001.2,99,,
2025-01-01,Sell,905.55,99,-95.65000000000009,-9469.35000000001
2025-01-31,Buy,944.45,105,,
2025-04-25,Sell,1027.75,105,83.29999999999995,8746.499999999995
2025-05-15,Buy,1038.0,96,,
2025-05-23,Sell,1008.5,96,-29.5,-2832.0
2025-06-06,Buy,1004.5,99,,
2025-06-18,Sell,986.25,99,-18.25,-1806.75
2025-07-01,Buy,1029.35,97,,
