Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-03-27,Buy,1775.65,56,,
2024-04-30,Sell,1623.75,56,-151.9000000000001,-8506.400000000005
2024-06-03,Buy,1719.05,58,,
2024-08-06,Sell,1771.2,58,52.15000000000009,3024.7000000000053
2024-09-09,Buy,1790.2,55,,
2024-10-23,Sell,1765.85,55,-24.350000000000136,-1339.2500000000075
2024-12-06,Buy,1776.85,56,,
2025-01-13,Sell,1738.25,56,-38.59999999999991,-2161.599999999995
2025-01-21,Buy,1893.4,52,,
2025-05-22,Sell,2068.95,52,175.54999999999973,9128.599999999986
2025-06-20,Buy,2169.45,46,,
