Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-03-07,Buy,3676.7,27,,
2024-05-03,Sell,3499.1,27,-177.5999999999999,-4795.199999999997
2024-06-07,Buy,3532.9,28,,
2024-07-02,Sell,3624.25,28,91.34999999999991,2557.7999999999975
2024-07-08,Buy,3630.6,27,,
2024-07-19,Sell,3618.55,27,-12.049999999999727,-325.34999999999263
2024-07-22,Buy,3651.45,27,,
2024-07-24,Sell,3519.4,27,-132.04999999999973,-3565.3499999999926
2024-07-26,Buy,3673.3,27,,
2024-08-16,Sell,3568.1,27,-105.20000000000027,-2840.4000000000074
2024-08-22,Buy,3606.0,27,,
2024-08-27,Sell,3702.4,27,96.40000000000009,2602.8000000000025
2024-09-12,Buy,3622.8,27,,
2024-10-04,Sell,3490.75,27,-132.05000000000018,-3565.350000000005
2024-10-09,Buy,3486.6,28,,
2024-10-17,Sell,3570.9,28,84.30000000000018,2360.400000000005
2024-11-11,Buy,3627.35,27,,
2024-11-19,Sell,3505.6,27,-121.75,-3287.25
2024-11-22,Buy,3604.55,27,,
2025-01-06,Sell,3603.05,27,-1.5,-40.5
2025-03-26,Buy,3442.6,29,,
2025-04-28,Sell,3327.8,29,-114.79999999999973,-3329.199999999992
2025-05-14,Buy,3574.3,27,,
2025-07-03,Sell,3582.6,27,8.299999999999727,224.09999999999263
