Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-06-06,Buy,12675.35,7,,
2024-06-21,Sell,12198.55,7,-476.8000000000011,-3337.6000000000076
2024-07-26,Buy,12677.9,7,,
2024-08-19,Sell,12144.3,7,-533.6000000000004,-3735.2000000000025
2024-09-13,Buy,12317.15,8,,
2024-10-25,Sell,11496.0,8,-821.1499999999996,-6569.199999999997
2024-12-20,Buy,10904.75,9,,
2025-03-06,Sell,11669.75,9,765.0,6885.0
2025-04-17,Buy,11691.3,8,,
2025-04-25,Sell,11685.9,8,-5.399999999999636,-43.19999999999709
2025-05-02,Buy,12409.2,8,,
2025-06-12,Sell,12382.3,8,-26.900000000001455,-215.20000000001164
2025-06-27,Buy,12644.9,7,,
