Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-02-28,Buy,2569.1,38,,
2024-04-03,Sell,2551.15,38,-17.949999999999818,-682.0999999999931
2024-06-21,Buy,2497.15,40,,
2024-08-06,Sell,2507.4,40,10.25,410.0
2024-09-02,Buy,2509.25,39,,
2024-10-22,Sell,2351.05,39,-158.19999999999982,-6169.799999999993
2025-01-22,Buy,2207.8,45,,
2025-03-04,Sell,2148.35,45,-59.45000000000027,-2675.2500000000123
2025-03-21,Buy,2265.45,44,,
2025-03-28,Sell,2251.05,44,-14.399999999999636,-633.599999999984
2025-04-02,Buy,2210.6,45,,
2025-05-23,Sell,2413.5,45,202.9000000000001,9130.500000000004
2025-06-03,Buy,2390.65,41,,
2025-06-24,Sell,2370.1,41,-20.550000000000182,-842.5500000000075
2025-07-16,Buy,2462.65,40,,
