Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-04-18,Buy,351.4,284,,
2024-05-15,Sell,361.35,284,9.950000000000045,2825.800000000013
2024-05-21,Buy,371.9,268,,
2024-06-21,Sell,359.7,268,-12.199999999999989,-3269.5999999999967
2024-07-04,Buy,372.9,268,,
2024-09-04,Sell,405.0,268,32.10000000000002,8602.800000000007
2024-09-17,Buy,416.25,240,,
2024-10-28,Sell,403.75,240,-12.5,-3000.0
2025-03-12,Buy,330.1,302,,
2025-05-07,Sell,342.2,302,12.099999999999966,3654.19999999999
2025-07-07,Buy,337.65,296,,
