Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-04-22,Buy,270.4,369,,
2024-05-28,Sell,267.8,369,-2.599999999999966,-959.3999999999874
2024-07-04,Buy,270.4,369,,
2024-08-30,Sell,322.7,369,52.30000000000001,19298.700000000004
2024-09-04,Buy,306.85,325,,
2024-09-05,Sell,304.0,325,-2.8500000000000227,-926.2500000000074
2024-12-17,Buy,247.25,404,,
2024-12-30,Sell,233.35,404,-13.900000000000006,-5615.600000000002
2025-01-20,Buy,269.0,371,,
2025-02-10,Sell,242.55,371,-26.44999999999999,-9812.949999999995
2025-04-02,Buy,250.45,399,,
2025-05-05,Sell,239.4,399,-11.049999999999983,-4408.949999999993
2025-05-09,Buy,234.75,425,,
2025-05-27,Sell,244.55,425,9.800000000000011,4165.000000000005
2025-06-05,Buy,237.75,420,,
2025-06-20,Sell,251.85,420,14.099999999999994,5921.999999999997
2025-06-26,Buy,244.55,408,,
2025-07-15,Sell,243.7,408,-0.8500000000000227,-346.8000000000093
