Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-04-19,Buy,1470.8,67,,
2024-05-06,Sell,1419.5,67,-51.299999999999955,-3437.0999999999967
2024-06-06,Buy,1431.9,69,,
2024-08-06,Sell,1455.9,69,24.0,1656.0
2024-09-06,Buy,1464.9,68,,
2024-09-23,Sell,1494.2,68,29.299999999999955,1992.399999999997
2024-12-18,Buy,1253.05,79,,
2024-12-30,Sell,1210.9,79,-42.149999999999864,-3329.8499999999894
2025-01-22,Buy,1277.3,78,,
2025-02-14,Sell,1216.95,78,-60.34999999999991,-4707.299999999993
2025-03-25,Buy,1285.4,77,,
2025-04-25,Sell,1300.05,77,14.649999999999864,1128.0499999999895
2025-04-29,Buy,1400.3,71,,
2025-06-20,Sell,1464.65,71,64.35000000000014,4568.8500000000095
2025-06-23,Buy,1456.35,68,,
