Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-04-23,Buy,772.85,129,,
2024-07-02,Sell,826.35,129,53.5,6901.5
2024-07-03,Buy,840.1,119,,
2024-08-13,Sell,797.3,119,-42.80000000000007,-5093.200000000008
2024-10-16,Buy,805.85,124,,
2024-12-11,Sell,861.55,124,55.69999999999993,6906.799999999992
2024-12-13,Buy,861.7,116,,
2025-01-02,Sell,801.05,116,-60.65000000000009,-7035.400000000011
2025-03-25,Buy,773.05,129,,
2025-05-27,Sell,793.8,129,20.75,2676.75
2025-06-05,Buy,806.1,124,,
2025-07-04,Sell,811.85,124,5.75,713.0
2025-07-16,Buy,831.55,120,,
