Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-04-16,Buy,480.0,208,,
2024-05-10,Sell,469.15,208,-10.850000000000023,-2256.8000000000047
2024-06-13,Buy,536.95,186,,
2024-07-26,Sell,585.05,186,48.09999999999991,8946.599999999984
2024-08-08,Buy,574.35,174,,
2024-10-22,Sell,650.1,174,75.75,13180.5
2024-12-16,Buy,627.0,159,,
2025-01-03,Sell,609.5,159,-17.5,-2782.5
2025-02-17,Buy,550.6,181,,
2025-04-30,Sell,610.9,181,60.299999999999955,10914.299999999992
2025-05-13,Buy,633.3,157,,
2025-05-19,Sell,677.6,157,44.30000000000007,6955.10000000001
2025-06-03,Buy,647.6,154,,
