Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-04-23,Buy,986.6,101,,
2024-05-13,Sell,959.55,101,-27.050000000000068,-2732.050000000007
2024-06-24,Buy,958.25,104,,
2024-08-30,Sell,1109.4,104,151.1500000000001,15719.60000000001
2024-09-11,Buy,976.0,102,,
2024-09-17,Sell,975.0,102,-1.0,-102.0
2025-01-22,Buy,742.95,134,,
2025-02-03,Sell,687.45,134,-55.5,-7437.0
2025-04-02,Buy,671.8,148,,
2025-04-21,Sell,629.95,148,-41.84999999999991,-6193.7999999999865
2025-05-13,Buy,707.9,141,,
2025-06-18,Sell,670.1,141,-37.799999999999955,-5329.799999999994
