Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-09-13,Buy,149.9,667,,
2024-09-23,Sell,150.45,667,0.549999999999983,366.84999999998865
2024-09-27,Buy,162.7,614,,
2024-10-29,Sell,146.65,614,-16.049999999999983,-9854.69999999999
2024-12-17,Buy,142.35,702,,
2025-01-02,Sell,135.0,702,-7.349999999999994,-5159.699999999996
2025-02-11,Buy,127.15,786,,
2025-04-17,Sell,134.05,786,6.900000000000006,5423.400000000004
2025-05-15,Buy,153.75,650,,
2025-06-24,Sell,154.8,650,1.0500000000000114,682.5000000000074
2025-07-04,Buy,163.0,613,,
