Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-03-26,Buy,3877.1,25,,
2024-03-27,Sell,3837.5,25,-39.59999999999991,-989.9999999999977
2024-05-27,Buy,3846.55,25,,
2024-06-04,Sell,3715.8,25,-130.75,-3268.75
2024-07-01,Buy,3973.4,25,,
2024-09-25,Sell,4275.95,25,302.5499999999997,7563.749999999993
2024-11-25,Buy,4315.1,23,,
2025-01-03,Sell,4099.25,23,-215.85000000000036,-4964.550000000008
2025-02-03,Buy,4067.3,24,,
2025-02-07,Sell,4029.35,24,-37.95000000000027,-910.8000000000065
2025-05-14,Buy,3549.05,28,,
2025-06-11,Sell,3472.15,28,-76.90000000000009,-2153.2000000000025
2025-07-07,Buy,3411.95,29,,
2025-07-11,Sell,3265.4,29,-146.54999999999973,-4249.949999999992
