Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-03-06,Buy,3809.85,26,,
2024-04-09,Sell,3679.7,26,-130.1500000000001,-3383.9000000000024
2024-04-23,Buy,3629.65,27,,
2024-04-30,Sell,3589.15,27,-40.5,-1093.5
2024-06-12,Buy,3381.05,29,,
2024-07-15,Sell,3223.85,29,-157.20000000000027,-4558.800000000008
2024-08-07,Buy,3326.35,30,,
2024-10-14,Sell,3497.7,30,171.3499999999999,5140.499999999997
2024-12-09,Buy,3466.75,28,,
2025-01-10,Sell,3439.35,28,-27.40000000000009,-767.2000000000025
2025-01-27,Buy,3318.2,30,,
2025-02-07,Sell,3424.15,30,105.95000000000027,3178.500000000008
2025-02-18,Buy,3221.85,31,,
2025-02-20,Sell,3191.9,31,-29.949999999999818,-928.4499999999944
2025-04-15,Buy,3273.3,30,,
2025-06-17,Sell,3405.35,30,132.04999999999973,3961.499999999992
2025-07-03,Buy,3679.35,27,,
