Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-04-22,Buy,9567.15,10,,
2024-05-06,Sell,9778.15,10,211.0,2110.0
2024-05-18,Buy,9860.8,10,,
2024-08-07,Sell,11546.2,10,1685.4000000000015,16854.000000000015
2024-09-13,Buy,11715.8,8,,
2024-10-18,Sell,11060.9,8,-654.8999999999996,-5239.199999999997
2024-11-27,Buy,11139.25,8,,
2025-01-09,Sell,11268.15,8,128.89999999999964,1031.199999999997
2025-02-11,Buy,11300.7,8,,
2025-03-03,Sell,10341.85,8,-958.8500000000004,-7670.800000000003
2025-04-03,Buy,11607.8,8,,
2025-05-26,Sell,11688.55,8,80.75,646.0
2025-07-01,Buy,12204.6,8,,
