Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-05-24,Buy,227.25,440,,
2024-05-30,Sell,214.25,440,-13.0,-5720.0
2024-06-11,Buy,233.35,428,,
2024-08-07,Sell,243.9,428,10.550000000000011,4515.400000000005
2024-09-03,Buy,262.9,380,,
2024-10-23,Sell,268.25,380,5.350000000000023,2033.0000000000086
2024-10-29,Buy,275.6,362,,
2025-01-14,Sell,287.2,362,11.599999999999966,4199.199999999988
2025-02-01,Buy,304.95,327,,
2025-03-04,Sell,279.85,327,-25.099999999999966,-8207.699999999988
2025-05-20,Buy,249.7,400,,
